User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
2400284491,Rev. Dr. William J. Barber II,RevDrBarber,Thu Mar 20 18:27:34 +0000 2014,191480,1076,1339,4056,1557,,"President & senior lecturer of @BRepairers, architect of the Moral Mondays movement in North Carolina, & co-chair of @unitethepoor. #MoralMovement #MoralRevival",,https://t.co/AOkYjeMA9Q,,,1
39176902,Juan Guaidó,jguaido,Mon May 11 02:59:20 +0000 2009,2146823,2595,6848,41889,3073,,"Servidor Público, Presidente (E) de la República Bolivariana de Venezuela y la @AsambleaVe, apegado a los Art. 233/333 CRBV. Ingeniero. En todo amar y servir",Vargas,https://t.co/hZCEqTR5cj,,,1
831600619332968449,Penn Biden Center,PennBiden,Tue Feb 14 20:26:52 +0000 2017,14293,34,145,1522,89,,"The @Penn Biden Center for Diplomacy and Global Engagement believes that a democratic, open, secure, tolerant, and interconnected world benefits all Americans.","Washington, DC",https://t.co/4X4aGRboeg,,,0
3082246755,UD Biden School,UDBidenSchool,Mon Mar 09 19:36:24 +0000 2015,1165,250,506,912,21,,"Official Twitter account of @UDelaware's Joseph R. Biden, Jr. School of Public Policy and Administration • Educate • Explore • Engage • Empower","Graham Hall, Newark, DE, USA",https://t.co/w7SwmMRQrl,,,0
21258337,The View,TheView,Thu Feb 19 00:18:04 +0000 2009,762168,1528,12952,56698,3573,,"The place to be heard! Your comments/handle may be used by The View, i.e., being published online/on TV.

Buy our new 'View' mug and more: https://t.co/TYBbcL2Oaw",Weekdays 11e|10c|p on ABC,https://t.co/mToQBTQhqU,,,1
254117355,Morning Joe,Morning_Joe,Fri Feb 18 16:48:40 +0000 2011,595920,482,1972,44865,4346,,Live tweet during the show! Links to must-read op-eds and other features. Feed managed by MJ staff. Retweets not necessarily endorsements.,"New York, NY",http://t.co/zaSnKrSGzz,,,1
28785486,ABC News,ABC,Sat Apr 04 12:40:32 +0000 2009,14369289,537,39,256843,56425,,"All the news and information you need to see, curated by the @ABC News team. https://t.co/PKeobr4xt0 Tips: https://t.co/2ICEX6CuXd",New York City / Worldwide,https://t.co/7mnR2AtpOn,,,1
14173315,NBC News,NBCNews,Tue Mar 18 23:19:17 +0000 2008,6622545,1759,767,212312,41474,,The leading source of global news and info for more than 75 years. https://t.co/Hd7rJQeDzP,"New York, NY",https://t.co/Z73is4fJ3x,,,1
3228285632,HospitalWrkersRising,PGHHospitalWork,Wed May 27 14:26:35 +0000 2015,797,910,113,1344,29,,Western Pennsylvania hospital workers are coming together to improve jobs and build healthy communities. HWR is a project of SEIU Healthcare PA.,"Pittsburgh, PA",https://t.co/MfGFPq8vBW,,,0
22650211,Good Morning America,GMA,Tue Mar 03 17:40:29 +0000 2009,3646179,2425,6597,213689,17037,,Put some GOOD in your morning! Watch @GMA at 7am and around the clock at https://t.co/zWNTWbVVGq! Watch @StrahanAndSara at 1pm ET/12pm c/p weekdays!,"New York, NY",https://t.co/6BMCustbHK,,,1
26642006,Alyssa Milano,Alyssa_Milano,Thu Mar 26 00:34:20 +0000 2009,3590612,4143,22639,57735,37487,,🇺🇸 Check out @sorrynotsorry @PatNotPart and @NoRA4USA Please follow my other accounts for career updates @AlyssaDotCom @TouchByAM #NoRA,Los Angeles,https://t.co/DOhhBYiEHZ,,,1
725776756074909696,Iowa FireFighters,IPFF2,Thu Apr 28 20:00:37 +0000 2016,1365,2425,1751,3491,7,,,"Iowa, USA",https://t.co/wGdeeb9Vg0,,,0
16815644,ABC News Politics,ABCPolitics,Thu Oct 16 22:43:16 +0000 2008,754480,476,72,127216,6358,,Reports from @ABC News' political team.,"Washington, DC",https://t.co/SO3M0qceOH,,,1
1129095209772552192,Team Joe,TeamJoe,Thu May 16 18:44:10 +0000 2019,5608,1,1,99,44,,We’re building a grassroots campaign to elect @JoeBiden to be the 46th President. Account managed by #TeamJoe staff. Text JOIN to 30330 to get involved.,"Philadelphia, PA",https://t.co/BUHfybyq5Y,,,1
252409940,Mike Rawlings,Mike_Rawlings,Tue Feb 15 03:57:42 +0000 2011,35515,925,2310,4423,601,,Mike Rawlings served as mayor of Dallas from 2011-2019.,"Dallas, TX",,,,1
19608297,Human Rights Campaign,HRC,Tue Jan 27 18:55:38 +0000 2009,820698,157544,18474,47506,8909,,"HRC is the nation’s largest LGBTQ civil rights organization. We envision a world where LGBTQ people are ensured equality at home, at work & in every community.","Washington, DC",https://t.co/aqJODv04ld,,,1
77764733,Mayor Marty Walsh,marty_walsh,Sun Sep 27 15:55:11 +0000 2009,291293,2214,421,13395,1834,,"Mayor, City of Boston. Tweets by staff with tweets from the Mayor signed MJW.","Boston, Mass.",http://t.co/EWb07Q9QEU,,,1
